support,itemsets
0.16196815976260176,"frozenset({'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low'})"
0.1429936774003823,"frozenset({'Family Size_Small', 'Main Source of Water Supply (2nd visit only)_Medium', 'Other Non Alcoholic Beverages_Low'})"
0.12667923166379275,"frozenset({'Family Size_Small', 'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low'})"
0.1102712167996685,"frozenset({'Family Size_Small', 'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium'})"
0.1151702289770221,"frozenset({'Family Size_Small', 'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low'})"
0.10138883319297964,"frozenset({'Family Size_Small', 'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Other Non Alcoholic Beverages_Low'})"
0.09395677106307895,"frozenset({'Family Size_Small', 'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low'})"
0.08672521420646696,"frozenset({'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Other Non Alcoholic Beverages_Low', 'Family Size_Small', 'Tea (total)  expenditure_Low'})"
0.09228589378567323,"frozenset({'Softdrinks_High', 'Main Source of Water Supply (2nd visit only)_Medium', 'Other Non Alcoholic Beverages_Low'})"
0.08455307374583952,"frozenset({'Softdrinks_High', 'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low'})"
0.059002018419751105,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium'})"
0.05616821055727099,"frozenset({'Softdrinks_High', 'Main Source of Water Supply (2nd visit only)_Medium', 'Family Size_Medium'})"
0.05461763644383847,"frozenset({'Softdrinks_High', 'Main Source of Water Supply (2nd visit only)_Medium', 'Fruit and vegetable juices_High'})"
0.07375252302468888,"frozenset({'Softdrinks_High', 'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low'})"
0.05253906511074575,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Other Non Alcoholic Beverages_Low'})"
0.05120236328882116,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low'})"
0.10814586090280841,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Other Non Alcoholic Beverages_Low', 'Softdrinks_Low'})"
0.09644303645185869,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low', 'Softdrinks_Low'})"
0.08224057959390998,"frozenset({'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Softdrinks_Low'})"
0.06904064910240473,"frozenset({'Family Size_Small', 'Main Source of Water Supply (2nd visit only)_Medium', 'Softdrinks_Low'})"
0.09019395543436126,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low', 'Softdrinks_Low'})"
0.07785619761799735,"frozenset({'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Other Non Alcoholic Beverages_Low', 'Softdrinks_Low'})"
0.07116600499926481,"frozenset({'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low', 'Softdrinks_Low'})"
0.0675168090254107,"frozenset({'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Other Non Alcoholic Beverages_Low', 'Softdrinks_Low', 'Tea (total)  expenditure_Low'})"
0.06444907834409379,"frozenset({'Family Size_Small', 'Main Source of Water Supply (2nd visit only)_Medium', 'Other Non Alcoholic Beverages_Low', 'Softdrinks_Low'})"
0.05553996070096644,"frozenset({'Family Size_Small', 'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low', 'Softdrinks_Low'})"
0.05245217949232065,"frozenset({'Family Size_Small', 'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Softdrinks_Low'})"
0.052412078437662914,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Other Non Alcoholic Beverages_Low', 'Family Size_Small', 'Softdrinks_Low', 'Tea (total)  expenditure_Low'})"
0.09263343625937362,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Other Non Alcoholic Beverages_Low', 'Food Not Elsewhere Classified (Total)_High'})"
0.08156554517383807,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low', 'Food Not Elsewhere Classified (Total)_High'})"
0.05880819665557204,"frozenset({'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Food Not Elsewhere Classified (Total)_High'})"
0.05568031439226852,"frozenset({'Family Size_Medium', 'Main Source of Water Supply (2nd visit only)_Medium', 'Food Not Elsewhere Classified (Total)_High'})"
0.053173998476159924,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Fruit and vegetable juices_High', 'Food Not Elsewhere Classified (Total)_High'})"
0.07133309272700539,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low', 'Food Not Elsewhere Classified (Total)_High'})"
0.052579166165403486,"frozenset({'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Other Non Alcoholic Beverages_Low', 'Food Not Elsewhere Classified (Total)_High'})"
0.12926574968921684,"frozenset({'Family Size_Medium', 'Main Source of Water Supply (2nd visit only)_Medium', 'Other Non Alcoholic Beverages_Low'})"
0.1189931961877264,"frozenset({'Family Size_Medium', 'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low'})"
0.07965406156848592,"frozenset({'Family Size_Medium', 'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium'})"
0.10645493309807381,"frozenset({'Family Size_Medium', 'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low'})"
0.07293713491331488,"frozenset({'Family Size_Medium', 'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Other Non Alcoholic Beverages_Low'})"
0.07054443865206989,"frozenset({'Family Size_Medium', 'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low'})"
0.06491692398176739,"frozenset({'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Other Non Alcoholic Beverages_Low', 'Family Size_Medium', 'Tea (total)  expenditure_Low'})"
0.12410608065658793,"frozenset({'NPCINC_Medium', 'Main Source of Water Supply (2nd visit only)_Medium', 'Other Non Alcoholic Beverages_Low'})"
0.11359292082715108,"frozenset({'NPCINC_Medium', 'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low'})"
0.0659996524575263,"frozenset({'NPCINC_Medium', 'Main Source of Water Supply (2nd visit only)_Medium', 'Family Size_Medium'})"
0.08424563232679687,"frozenset({'NPCINC_Medium', 'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium'})"
0.06854606942829262,"frozenset({'Family Size_Small', 'Main Source of Water Supply (2nd visit only)_Medium', 'NPCINC_Medium'})"
0.10269211746935611,"frozenset({'NPCINC_Medium', 'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low'})"
0.05771878467070351,"frozenset({'NPCINC_Medium', 'Main Source of Water Supply (2nd visit only)_Medium', 'Family Size_Medium', 'Other Non Alcoholic Beverages_Low'})"
0.052599216692732355,"frozenset({'NPCINC_Medium', 'Family Size_Medium', 'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low'})"
0.07764232532648942,"frozenset({'NPCINC_Medium', 'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Other Non Alcoholic Beverages_Low'})"
0.07421368515325287,"frozenset({'NPCINC_Medium', 'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low'})"
0.06869310662870433,"frozenset({'Cocoa (total)  expenditure_Low', 'NPCINC_Medium', 'Main Source of Water Supply (2nd visit only)_Medium', 'Other Non Alcoholic Beverages_Low', 'Tea (total)  expenditure_Low'})"
0.06122762695325554,"frozenset({'Family Size_Small', 'Main Source of Water Supply (2nd visit only)_Medium', 'Other Non Alcoholic Beverages_Low', 'NPCINC_Medium'})"
0.056341981794121185,"frozenset({'Family Size_Small', 'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low', 'NPCINC_Medium'})"
0.05148975418053495,"frozenset({'NPCINC_Medium', 'Main Source of Water Supply (2nd visit only)_Medium', 'Other Non Alcoholic Beverages_Low', 'Family Size_Small', 'Tea (total)  expenditure_Low'})"
0.09299434575129326,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Fruit and vegetable juices_High', 'Other Non Alcoholic Beverages_Low'})"
0.07831735974656133,"frozenset({'Fruit and vegetable juices_High', 'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low'})"
0.05641550039432704,"frozenset({'Family Size_Medium', 'Main Source of Water Supply (2nd visit only)_Medium', 'Fruit and vegetable juices_High'})"
0.054423814679659406,"frozenset({'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Fruit and vegetable juices_High'})"
0.0676638462258224,"frozenset({'Fruit and vegetable juices_High', 'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low'})"
0.09104944460039299,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Other Non Alcoholic Beverages_Low', 'Cocoa (total)  expenditure_High'})"
0.07591797997620671,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low', 'Cocoa (total)  expenditure_High'})"
0.059951076713317564,"frozenset({'Family Size_Medium', 'Main Source of Water Supply (2nd visit only)_Medium', 'Cocoa (total)  expenditure_High'})"
0.053361136731229365,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Fruit and vegetable juices_High', 'Cocoa (total)  expenditure_High'})"
0.06541150365587949,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low', 'Cocoa (total)  expenditure_High'})"
0.09402360615417518,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Coffee, Cocoa and Tea (Total)_High', 'Other Non Alcoholic Beverages_Low'})"
0.08586304153132561,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low', 'Coffee, Cocoa and Tea (Total)_High'})"
0.06311906003127882,"frozenset({'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Coffee, Cocoa and Tea (Total)_High'})"
0.053361136731229365,"frozenset({'Family Size_Medium', 'Main Source of Water Supply (2nd visit only)_Medium', 'Coffee, Cocoa and Tea (Total)_High'})"
0.07583109435778161,"frozenset({'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low', 'Coffee, Cocoa and Tea (Total)_High'})"
0.05699696568686423,"frozenset({'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Coffee, Cocoa and Tea (Total)_High', 'Other Non Alcoholic Beverages_Low'})"
0.0550921655906217,"frozenset({'Cocoa (total)  expenditure_Low', 'Main Source of Water Supply (2nd visit only)_Medium', 'Tea (total)  expenditure_Low', 'Coffee, Cocoa and Tea (Total)_High'})"
